2024-05-24 13:11:52,532 [Worker-7: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2024-05-24 13:12:29,843 [main] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2024-05-24 13:12:30,351 [main] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: testProject:testProject:1.0.0 @ E:\eGovFrameDev-3.9.0-64bit\workspace\testProject\pom.xml.
2024-05-24 13:12:31,588 [main] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /testProject/src/main/java
2024-05-24 13:12:31,589 [main] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /testProject/src/main/resources
2024-05-24 13:12:31,592 [main] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /testProject/src/test/java
2024-05-24 13:12:31,592 [main] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /testProject/src/test/resources
2024-05-24 13:12:32,325 [main] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for testProject
2024-05-24 13:12:32,337 [main] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 2 sec
2024-05-24 13:12:32,576 [Worker-13: Updating Maven Dependencies] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: testProject:testProject:1.0.0 @ E:\eGovFrameDev-3.9.0-64bit\workspace\testProject\pom.xml.
2024-05-24 13:12:36,209 [Worker-7: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2024-05-24 13:12:36,216 [Worker-7: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 18 resources
2024-05-24 13:12:36,255 [Worker-7: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2024-05-24 13:12:36,256 [Worker-7: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-05-24 13:12:48,568 [Worker-11: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2024-05-24 13:12:48,571 [Worker-11: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-05-24 13:12:48,571 [Worker-11: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2024-05-24 13:12:48,572 [Worker-11: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-05-24 14:06:48,859 [Worker-43: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2024-05-24 14:06:48,860 [Worker-43: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-05-24 14:06:48,860 [Worker-43: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2024-05-24 14:06:48,861 [Worker-43: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-05-24 14:07:15,097 [Worker-46: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2024-05-24 14:07:15,098 [Worker-46: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-05-24 14:07:15,099 [Worker-46: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
